Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_30deg_sub_ave_cm-1.dat
  4.289420e+00   1.000414e-04   1.635709e-04
  4.302005e+00   1.694666e-04   1.646306e-04
  4.314589e+00  -2.642031e-05   1.649505e-04
  4.327172e+00   4.024571e-04   1.631927e-04
  4.339754e+00  -9.000969e-05   1.668625e-04
  4.352335e+00  -4.096173e-05   1.612374e-04
  4.364915e+00   1.423309e-04   1.680333e-04
  4.377494e+00  -2.453578e-04   1.631526e-04
  4.390073e+00   3.642880e-04   1.663382e-04
  4.402650e+00  -2.979358e-05   1.670927e-04
  4.415227e+00   6.466918e-05   1.655114e-04
  4.427802e+00   2.431837e-04   1.685876e-04
  4.440376e+00   1.021035e-04   1.651655e-04
  4.452950e+00   4.868721e-04   1.694127e-04
  4.465523e+00   3.447347e-04   1.698114e-04
  4.478094e+00   3.903394e-04   1.669691e-04
  4.490665e+00  -1.158205e-04   1.686210e-04
  4.503235e+00   4.387505e-04   1.680360e-04
  4.515803e+00   2.797638e-04   1.711783e-04
  4.528371e+00  -1.798992e-04   1.676741e-04
  4.540938e+00   1.279954e-04   1.671777e-04
  4.553504e+00   1.856021e-04   1.706777e-04
  4.566069e+00  -1.756067e-04   1.653121e-04
  4.578632e+00   2.725060e-04   1.735383e-04
  4.591195e+00   6.895327e-05   1.698015e-04
  4.603757e+00  -4.258285e-05   1.700839e-04
  4.616318e+00   1.252094e-04   1.707482e-04
  4.628878e+00   1.388541e-04   1.693185e-04
  4.641437e+00   5.594077e-06   1.718093e-04
  4.653995e+00   1.531693e-04   1.701676e-04
  4.666552e+00   2.377095e-04   1.728042e-04
  4.679108e+00   5.282566e-04   1.742290e-04
  4.691662e+00  -2.154838e-04   1.693039e-04
  4.704216e+00   2.215217e-04   1.716827e-04
  4.716769e+00  -1.015634e-04   1.706442e-04
  4.729321e+00  -6.447776e-05   1.738848e-04
  4.741872e+00   1.892645e-04   1.712476e-04
  4.754422e+00  -1.430719e-04   1.705001e-04
  4.766970e+00   3.911190e-05   1.731283e-04
  4.779518e+00   1.187831e-04   1.707337e-04
  4.792065e+00   1.405901e-04   1.725162e-04
  4.804611e+00   6.065520e-04   1.738368e-04
  4.817155e+00   1.417955e-04   1.722598e-04
  4.829699e+00  -3.946772e-05   1.722390e-04
  4.842242e+00  -1.099897e-04   1.700628e-04
  4.854783e+00   3.267894e-04   1.756658e-04
  4.867324e+00   4.833742e-04   1.720411e-04
  4.879863e+00   1.189287e-04   1.731976e-04
  4.892402e+00  -7.671429e-05   1.741443e-04
  4.904939e+00   3.648728e-07   1.736524e-04
  4.917475e+00  -2.530022e-04   1.734344e-04
  4.930011e+00   1.227955e-04   1.756735e-04
  4.942545e+00   1.027774e-04   1.866147e-04
  4.955078e+00   1.164519e-04   1.864295e-04
  4.967610e+00   1.625297e-04   1.896818e-04
  4.980141e+00  -8.289954e-05   1.959925e-04
  4.992671e+00  -6.897265e-04   1.910066e-04
  5.005200e+00   2.316140e-04   2.023883e-04
  5.017728e+00  -1.583925e-04   1.960461e-04
  5.030255e+00  -1.908318e-04   2.017316e-04
  5.042781e+00  -3.905373e-04   2.034024e-04
  5.055305e+00  -3.460594e-04   2.014831e-04
  5.067829e+00  -1.403900e-04   2.087441e-04
  5.080351e+00  -9.329291e-05   2.010870e-04
  5.092872e+00   3.191297e-04   2.110753e-04
  5.105393e+00   1.153902e-04   2.096153e-04
  5.117912e+00   1.351136e-04   2.116366e-04
  5.130430e+00  -8.595872e-05   2.122251e-04
  5.142947e+00   3.287457e-04   2.108376e-04
  5.155463e+00   3.092255e-05   2.180910e-04
  5.167978e+00   1.000652e-04   2.170084e-04
  5.180491e+00   1.599315e-05   2.159926e-04
  5.193004e+00   7.398969e-04   2.248299e-04
  5.205515e+00   5.967689e-05   2.192811e-04
  5.218026e+00   5.052284e-04   2.234746e-04
  5.230535e+00   1.754589e-04   2.212378e-04
  5.243043e+00   2.512855e-04   2.274820e-04
  5.255550e+00   1.122188e-04   2.329214e-04
  5.268056e+00   1.860794e-04   2.315712e-04
  5.280561e+00   2.140555e-04   2.359561e-04
  5.293064e+00  -1.116104e-05   2.288910e-04
  5.305567e+00  -5.185036e-04   2.338001e-04
  5.318068e+00   3.332597e-05   2.374992e-04
  5.330568e+00   6.892041e-04   2.434496e-04
  5.343067e+00  -5.837276e-05   2.394143e-04
  5.355565e+00   3.276067e-04   2.446736e-04
  5.368062e+00  -1.828977e-04   2.495047e-04
  5.380558e+00   3.538140e-04   2.506752e-04
  5.393052e+00   2.849983e-04   2.526417e-04
  5.405546e+00   5.242908e-05   2.496950e-04
  5.418038e+00   4.896884e-07   2.588604e-04
  5.430529e+00   5.781082e-04   2.646383e-04
  5.443019e+00   2.423088e-04   2.506066e-04
  5.455507e+00  -4.852075e-04   2.654749e-04
  5.467995e+00   1.783935e-04   2.689480e-04
  5.480481e+00   1.957937e-04   2.721963e-04
  5.492967e+00   9.602939e-05   2.700617e-04
  5.505451e+00   6.521577e-04   2.718870e-04
  5.517934e+00  -3.444688e-05   2.802985e-04
  5.530415e+00   5.416556e-04   2.750933e-04
  5.542896e+00   4.580486e-04   2.884111e-04
  5.555375e+00   4.919738e-04   2.868999e-04
  5.567853e+00   2.943584e-05   2.799474e-04
  5.580330e+00   1.508877e-04   3.018190e-04
  5.592806e+00   2.832278e-04   2.901590e-04
  5.605281e+00   6.470020e-04   3.071967e-04
  5.617754e+00  -4.068222e-04   3.033991e-04
