Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_30degBack_sub_ave_cm-1.dat
  4.113136e+00   2.912134e-04   1.522586e-04
  4.125733e+00  -7.887214e-05   1.563262e-04
  4.138330e+00   3.707632e-04   1.553291e-04
  4.150926e+00   5.970020e-04   1.601933e-04
  4.163521e+00  -2.535623e-04   1.577435e-04
  4.176115e+00   8.096969e-05   1.597582e-04
  4.188708e+00   7.273158e-04   1.643565e-04
  4.201300e+00   1.335617e-04   1.592148e-04
  4.213891e+00   4.653832e-04   1.656409e-04
  4.226482e+00  -2.334652e-04   1.590466e-04
  4.239071e+00   6.260194e-05   1.607444e-04
  4.251660e+00   2.577061e-04   1.645790e-04
  4.264247e+00   4.249294e-04   1.645256e-04
  4.276834e+00   1.411183e-04   1.632990e-04
  4.289420e+00   3.723676e-05   1.631813e-04
  4.302005e+00   3.082366e-04   1.656278e-04
  4.314589e+00   4.655121e-05   1.654949e-04
  4.327172e+00   1.611790e-04   1.615643e-04
  4.339754e+00  -1.715304e-04   1.663284e-04
  4.352335e+00   7.971082e-05   1.621134e-04
  4.364915e+00   2.396813e-04   1.687491e-04
  4.377494e+00   1.254147e-05   1.649864e-04
  4.390073e+00   2.529590e-04   1.656063e-04
  4.402650e+00   5.002112e-05   1.676935e-04
  4.415227e+00  -3.639608e-04   1.625860e-04
  4.427802e+00   4.566227e-04   1.701196e-04
  4.440376e+00   3.128929e-04   1.666634e-04
  4.452950e+00   4.065899e-04   1.688888e-04
  4.465523e+00   4.042359e-04   1.702662e-04
  4.478094e+00   3.239589e-04   1.665464e-04
  4.490665e+00  -1.804024e-04   1.682068e-04
  4.503235e+00   2.662578e-04   1.668791e-04
  4.515803e+00  -3.554727e-04   1.667064e-04
  4.528371e+00   2.262995e-04   1.705977e-04
  4.540938e+00  -1.509118e-04   1.652679e-04
  4.553504e+00   2.804953e-04   1.713863e-04
  4.566069e+00  -2.505995e-04   1.648165e-04
  4.578632e+00   1.312043e-04   1.725803e-04
