q[nm-1]	merged(TipAS_1.96mgml-1_30deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30deg_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=0.9995)	error
2.42752300e+00	2.65325618e-04	2.64344072e-05
2.43268500e+00	2.63259689e-04	2.62687074e-05
2.43784600e+00	2.59311209e-04	2.61411881e-05
2.44300800e+00	2.18518887e-04	2.62122541e-05
2.44817000e+00	2.30739073e-04	2.59718561e-05
2.45333200e+00	2.32717493e-04	2.61549183e-05
2.45849300e+00	2.52334762e-04	2.60764856e-05
2.46365500e+00	2.48823639e-04	2.59337034e-05
2.46881700e+00	2.26161682e-04	2.59299318e-05
2.47397900e+00	2.61385499e-04	2.60471024e-05
2.47914100e+00	2.67258148e-04	2.58245034e-05
2.48430200e+00	2.37807209e-04	2.59401690e-05
2.48946400e+00	2.77599962e-04	2.59001120e-05
2.49462600e+00	2.73143337e-04	2.57601353e-05
2.49978800e+00	2.74484487e-04	2.58757638e-05
2.50494900e+00	2.59844343e-04	2.58753364e-05
2.51011100e+00	2.30155960e-04	2.57618074e-05
2.51527300e+00	2.72585214e-04	2.58636036e-05
2.52043500e+00	2.32425891e-04	2.59269870e-05
2.52559600e+00	2.12954377e-04	2.56960366e-05
2.53075800e+00	2.23396148e-04	2.57323592e-05
2.53592000e+00	2.17152749e-04	2.57898529e-05
2.54108200e+00	2.24691407e-04	2.56466713e-05
2.54624300e+00	2.19226946e-04	2.57628107e-05
2.55140500e+00	2.13454161e-04	2.57025765e-05
2.55656700e+00	2.42634399e-04	2.56854464e-05
2.56172900e+00	2.36453519e-04	2.57562522e-05
2.56689000e+00	2.44304681e-04	2.57714501e-05
2.57205200e+00	2.56408188e-04	2.58488237e-05
2.57721400e+00	2.36016161e-04	2.63090710e-05
2.58237600e+00	1.86502143e-04	2.66463602e-05
2.58753800e+00	2.35145626e-04	2.68194174e-05
2.59269900e+00	2.48998564e-04	2.68881145e-05
2.59786100e+00	2.32292584e-04	2.69846806e-05
2.60302300e+00	2.57820124e-04	2.63486821e-05
2.60818500e+00	2.52297325e-04	2.63736156e-05
2.61334600e+00	2.14870278e-04	2.62845277e-05
2.61850800e+00	2.17681703e-04	2.60751293e-05
2.62367000e+00	2.01500496e-04	2.60626904e-05
2.62883200e+00	1.78430351e-04	2.60243520e-05
2.63399300e+00	2.28056774e-04	2.58625724e-05
2.63915500e+00	2.36732580e-04	2.59676200e-05
2.64431700e+00	1.91620935e-04	2.59789998e-05
2.64947900e+00	1.76476920e-04	2.59731195e-05
2.65464000e+00	2.36320305e-04	2.60339854e-05
2.65980200e+00	1.97722760e-04	2.60002267e-05
2.66496400e+00	2.36603454e-04	2.58302165e-05
2.67012600e+00	1.87522613e-04	2.59039207e-05
2.67528700e+00	2.20193257e-04	2.59300897e-05
2.68044900e+00	2.14337144e-04	2.57193722e-05
2.68561100e+00	1.98776580e-04	2.58958573e-05
2.69077300e+00	2.09459883e-04	2.57764572e-05
2.69593500e+00	2.33712881e-04	2.57912464e-05
2.70109600e+00	1.94369933e-04	2.58729304e-05
2.70625800e+00	2.15224307e-04	2.58539702e-05
2.71142000e+00	1.90942046e-04	2.57036077e-05
2.71658100e+00	1.70254329e-04	2.57201897e-05
2.72174300e+00	2.11879748e-04	2.57246580e-05
2.72690500e+00	1.96294195e-04	2.55984579e-05
2.73206700e+00	1.98805657e-04	2.57851245e-05
2.73722800e+00	1.60553966e-04	2.56520686e-05
2.74239000e+00	1.89771734e-04	2.56450828e-05
2.74755200e+00	1.77026682e-04	2.57098224e-05
2.75271400e+00	1.70004437e-04	2.56754135e-05
2.75787500e+00	2.04411878e-04	2.56032514e-05
2.76303700e+00	2.18860376e-04	2.56009661e-05
2.76819900e+00	1.72832491e-04	2.55699293e-05
2.77336100e+00	1.88097364e-04	2.53976896e-05
2.77852200e+00	2.31405514e-04	2.56066142e-05
2.78368400e+00	1.75843829e-04	2.55179351e-05
2.78884600e+00	1.99034833e-04	2.54252056e-05
2.79400800e+00	2.00180156e-04	2.55169411e-05
2.79917000e+00	1.89642608e-04	2.55380751e-05
2.80433100e+00	2.36849258e-04	2.53149466e-05
2.80949300e+00	1.87081168e-04	2.54534741e-05
2.81465500e+00	2.14537057e-04	2.53565829e-05
2.81981700e+00	2.03812044e-04	2.52162810e-05
2.82497800e+00	1.88501372e-04	2.53987858e-05
2.83014000e+00	2.25382837e-04	2.53124198e-05
2.83530200e+00	1.75277438e-04	2.52772677e-05
2.84046400e+00	1.93778460e-04	2.54096547e-05
2.84562500e+00	2.35108189e-04	2.54419456e-05
2.85078700e+00	1.64623212e-04	2.52545080e-05
2.85594900e+00	2.04424326e-04	2.53829655e-05
2.86111100e+00	2.39473125e-04	2.53330521e-05
2.86627200e+00	2.48403003e-04	2.52207958e-05
2.87143400e+00	2.04166166e-04	2.54434877e-05
2.87659600e+00	2.52293144e-04	2.52680616e-05
2.88175800e+00	2.13066782e-04	2.52140794e-05
2.88691900e+00	1.82670341e-04	2.52638162e-05
2.89208100e+00	2.18448007e-04	2.53065115e-05
2.89724300e+00	1.44385301e-04	2.50149832e-05
2.90240500e+00	1.78971846e-04	2.51573102e-05
2.90756700e+00	1.92999615e-04	2.51408768e-05
2.91272800e+00	1.91562689e-04	2.50219040e-05
2.91789000e+00	2.07406495e-04	2.52555113e-05
2.92305200e+00	1.73669675e-04	2.51082329e-05
2.92821400e+00	1.72994967e-04	2.53059635e-05
2.93337500e+00	1.74731763e-04	2.58224782e-05
2.93853700e+00	1.96677394e-04	2.60547292e-05
2.94369900e+00	2.03199855e-04	2.62318181e-05
