q[nm-1]	merged(TipAS_1.96mgml-1_15deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_15deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_15deg_1-2_ave_sub.dat],scale_high,lq=0.9058,hq=1.0031)	error
3.01596400e+00	1.66796350e-04	2.70972121e-05
3.02112500e+00	1.83346258e-04	2.70651253e-05
3.02628700e+00	1.81336141e-04	2.71284518e-05
3.03144900e+00	1.53933719e-04	2.69552913e-05
3.03661100e+00	1.68157686e-04	2.67599051e-05
3.04177200e+00	1.76219282e-04	2.68965051e-05
3.04693400e+00	2.20496003e-04	2.68321695e-05
3.05209600e+00	1.57667825e-04	2.66646916e-05
3.05725800e+00	1.35275559e-04	2.67442662e-05
3.06241900e+00	2.19796108e-04	2.66690796e-05
3.06758100e+00	1.40802094e-04	2.66187458e-05
3.07274300e+00	1.40435156e-04	2.68215755e-05
3.07790500e+00	1.43699810e-04	2.66134154e-05
3.08306600e+00	1.90315321e-04	2.65166694e-05
3.08822800e+00	1.38045252e-04	2.67526235e-05
3.09339000e+00	1.43196282e-04	2.65537535e-05
3.09855200e+00	1.39090859e-04	2.64947007e-05
3.10371400e+00	1.80649001e-04	2.66574385e-05
3.10887500e+00	1.95261418e-04	2.63971552e-05
3.11403700e+00	1.60113223e-04	2.65034863e-05
3.11919900e+00	1.70611650e-04	2.66235621e-05
3.12436100e+00	1.89658069e-04	2.64097672e-05
3.12952200e+00	1.73441023e-04	2.63911204e-05
3.13468400e+00	2.10385930e-04	2.65441588e-05
3.13984600e+00	2.05247750e-04	2.62154566e-05
3.14500800e+00	1.71836395e-04	2.63333907e-05
3.15016900e+00	2.03702803e-04	2.62975060e-05
3.15533100e+00	2.25028236e-04	2.61922600e-05
3.16049300e+00	1.69002643e-04	2.61201478e-05
3.16565500e+00	1.82748782e-04	2.63043688e-05
3.17081600e+00	1.89235543e-04	2.60602955e-05
3.17597800e+00	1.82377465e-04	2.61323410e-05
3.18114000e+00	1.71622990e-04	2.60879468e-05
3.18630200e+00	1.60787418e-04	2.60122842e-05
