q[nm-1]	merged(TipAS_1.96mgml-1_30degBack_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30degBACK_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30degBACK_1-2_ave_sub.dat],scale_high,lq=0.8992,hq=1.0068)	error
2.59786100e+00	2.16538350e-04	2.38710377e-05
2.60302300e+00	2.64071688e-04	2.33498250e-05
2.60818500e+00	2.36730947e-04	2.33039717e-05
2.61334600e+00	2.36297065e-04	2.32820631e-05
2.61850800e+00	2.32340056e-04	2.30745961e-05
2.62367000e+00	1.74784037e-04	2.30699939e-05
2.62883200e+00	1.76243937e-04	2.30635324e-05
2.63399300e+00	2.04527741e-04	2.28563177e-05
2.63915500e+00	2.09137382e-04	2.29677369e-05
2.64431700e+00	2.04893642e-04	2.29868102e-05
2.64947900e+00	1.85089662e-04	2.29660374e-05
2.65464000e+00	2.02124946e-04	2.29944160e-05
2.65980200e+00	2.40329544e-04	2.30447872e-05
2.66496400e+00	1.70615849e-04	2.28426122e-05
2.67012600e+00	1.78477033e-04	2.29237346e-05
2.67528700e+00	2.13724306e-04	2.29458031e-05
2.68044900e+00	1.96187496e-04	2.27706941e-05
2.68561100e+00	1.74157908e-04	2.29009595e-05
2.69077300e+00	2.30797283e-04	2.28116087e-05
2.69593500e+00	2.10114351e-04	2.28013527e-05
2.70109600e+00	2.13622503e-04	2.29155736e-05
2.70625800e+00	2.25655744e-04	2.28212673e-05
2.71142000e+00	2.09031709e-04	2.27561978e-05
2.71658100e+00	1.56232482e-04	2.27612038e-05
2.72174300e+00	2.33871554e-04	2.27763732e-05
2.72690500e+00	1.94176852e-04	2.26808133e-05
2.73206700e+00	2.41231128e-04	2.28454728e-05
2.73722800e+00	1.64263449e-04	2.26850032e-05
2.74239000e+00	1.75278242e-04	2.26700694e-05
2.74755200e+00	1.75870465e-04	2.27490716e-05
2.75271400e+00	1.97598262e-04	2.27249166e-05
2.75787500e+00	2.06074300e-04	2.26583915e-05
2.76303700e+00	1.73494004e-04	2.26143556e-05
2.76819900e+00	1.74934974e-04	2.26067666e-05
2.77336100e+00	2.12192891e-04	2.25175000e-05
2.77852200e+00	1.67100209e-04	2.26414553e-05
2.78368400e+00	1.83871227e-04	2.26160971e-05
2.78884600e+00	1.77235966e-04	2.24785458e-05
2.79400800e+00	2.07896315e-04	2.25877523e-05
2.79917000e+00	1.71977565e-04	2.26083736e-05
2.80433100e+00	1.87741579e-04	2.23958669e-05
2.80949300e+00	2.12026894e-04	2.25333341e-05
2.81465500e+00	1.40630764e-04	2.24079234e-05
2.81981700e+00	2.06398806e-04	2.22984392e-05
2.82497800e+00	1.70578157e-04	2.24600194e-05
2.83014000e+00	2.18779102e-04	2.24050375e-05
2.83530200e+00	2.07470090e-04	2.23494499e-05
2.84046400e+00	1.31038094e-04	2.24646468e-05
2.84562500e+00	2.01253566e-04	2.24813306e-05
2.85078700e+00	2.12124911e-04	2.23435269e-05
2.85594900e+00	1.80042522e-04	2.24594641e-05
2.86111100e+00	1.71766388e-04	2.23743706e-05
2.86627200e+00	1.57880927e-04	2.22915907e-05
2.87143400e+00	1.86809790e-04	2.24767285e-05
2.87659600e+00	1.81679610e-04	2.23110257e-05
2.88175800e+00	1.92253118e-04	2.23391266e-05
2.88691900e+00	1.80615898e-04	2.23338851e-05
2.89208100e+00	1.85806403e-04	2.23608165e-05
2.89724300e+00	1.83780783e-04	2.21416295e-05
2.90240500e+00	1.99673017e-04	2.22662158e-05
2.90756700e+00	1.91366594e-04	2.22373240e-05
2.91272800e+00	2.03471602e-04	2.21295562e-05
2.91789000e+00	1.75972351e-04	2.23208611e-05
2.92305200e+00	1.94757884e-04	2.21990513e-05
2.92821400e+00	2.14561780e-04	2.23944366e-05
2.93337500e+00	1.60442232e-04	2.28518586e-05
2.93853700e+00	1.58948425e-04	2.30525444e-05
2.94369900e+00	1.74116430e-04	2.31827845e-05
2.94886100e+00	1.57545231e-04	2.34433236e-05
2.95402200e+00	2.03954449e-04	2.34612863e-05
2.95918400e+00	1.71193012e-04	2.36660526e-05
2.96434600e+00	1.78710927e-04	2.38471267e-05
2.96950800e+00	2.01313890e-04	2.37196631e-05
2.97466900e+00	2.10687727e-04	2.40018583e-05
2.97983100e+00	1.98092384e-04	2.42212304e-05
2.98499300e+00	1.52441469e-04	2.41502714e-05
2.99015500e+00	1.25394946e-04	2.41925826e-05
2.99531700e+00	1.59770839e-04	2.41072030e-05
3.00047800e+00	1.88299810e-04	2.36920922e-05
